route_id,agency_id,route_short_name,route_long_name,route_type
2002,UT5,187,Rio Meão - Sandim (Mosteiro),3
2003,UT5,179,S. Maria da Feira (Zona Comercial) - Mosteirô,3
2004,UT5,184,Mozelos - Fiães (Escola) (via Paços de Brandão),3
2005,UT5,145,S. Maria da Feira (Escolas) - Mota,3
2006,UT5,164,Valada - S. Maria da Feira (Esc. Paços de Brandão),3
2007,UT5,150,Fiães (Escola) - Espinho (Hospital) (via Largo da Feira),3
2008,UT5,167,Circular | Canedo,3
2009,UT5,474,Circular | Canedo,3
2010,UT5,156,Pigeiros - Lourosa/Fiães (Interface),3
2011,UT5,162,S. Maria da Feira (Escolas) - Argoncilhe (Escola),3
2012,UT5,152,Argoncilhe (Escola) - Lever,3
2013,UT5,183,Castelo de Paiva (Centro) - Espinho (Hospital),3
2014,UT5,154,S. Maria da Feira (Souto) - S. Maria da Feira (Hospital) (via Travanca),3
2015,UT5,151,S. Maria da Feira (Souto) - S. Maria da Feira (Hospital) (via Matos),3
2016,UT5,163,Circular | Lourosa/Fiães (Interface),3
2017,UT5,475,Circular | Lourosa/Fiães (Interface),3
2018,UT5,157,Rebordelo - Lourosa/Fiães (Interface) (via Vale),3
2019,UT5,155,S. Maria da Feira (Zona Comercial) - Lourosa/Fiães (Interface),3
2021,UT5,182,S. João da Madeira (CCT) - Canedo (Escola) (via Caldas de S. Jorge),3
2022,UT5,170,Milheirós de Poiares - Pigeiros,3
2023,UT5,192,Mozelos – Lourosa (Escola) (via Suil Park),3
